building_name,prefecture,city,address,unit_number,rent,rawRent,bedroom,area_m2,area_ft2,station_name,station_distance_min,url,features
"Comforia Monzennakacho South","Tokyo","Koto-ku","Botan 1-13-2","101","116,000","116000","S","25.74","277","Monzen Nakacho","3","https://apts.jp/properties/80040-comforia-monzennakacho-south-101","Air Conditioning · Pet Friendly · Bicycle Storage"
"Gran Casa Hikifune","Tokyo","Sumida-ku","Yahiro 2-47-12","504","116,000","116000","1","26.14","281","Omurai","8","https://apts.jp/properties/183042-gran-casa-hikifune-504","Pet Friendly · Parking"
"City Spire Morishita","Tokyo","Sumida-ku","Chitose 1-5-24","405","116,000","116000","S","22.78","245","Hamacho","6","https://apts.jp/properties/179628-city-spire-morishita-405","Parking"
"Comforia Live Senju","Tokyo","Adachi-ku","Senju-kawaracho 1-6","0901","116,000","116000","S","25.39","273","Senju Ohashi","1","https://apts.jp/properties/182599-comforia-live-senju-0901","Air Conditioning · Bicycle Storage"
"Comforia Live Senju","Tokyo","Adachi-ku","Senju-kawaracho 1-6","1001","117,000","117000","S","25.39","273","Senju Ohashi","1","https://apts.jp/properties/182599-comforia-live-senju-0901","Air Conditioning · Bicycle Storage"
"Sky View Terrace Honjo Azumabashi","Tokyo","Sumida-ku","Honjo 3-10-9","402","118,000","118000","S","25.0","269","Honjo Azumabashi","8","https://apts.jp/properties/182625-sky-view-terrace-honjo-azumabashi-402",""
"Cerise Monzen-Nakacho","Tokyo","Koto-ku","Fukagawa 2-2-4","101","118,000","118000","S","25.93","279","Monzen Nakacho","5","https://apts.jp/properties/179117-cerise-monzen-nakacho-101","Parking"
"Park Axis Kinshicho Shinsui-Kouen","Tokyo","Sumida-ku","Kamezawa 4-22-8","102","119,000","119000","S","25.1","270","Kinshicho","10","https://apts.jp/properties/11942-park-axis-kinshicho-shinsui-kouen-102","Air Conditioning · Pet Friendly"
"Park Axis Oshiage / Sumida Park","Tokyo","Sumida-ku","Mukojima 1-11-2","501","119,000","119000","S","25.6","276","Narihirabashi","6","https://apts.jp/properties/95208-park-axis-oshiage-sumida-park-501","Air Conditioning · Pet Friendly"
"Comforia Monzennakacho","Tokyo","Koto-ku","Fuyuki 16-8","0212","119,000","119000","S","26.1","281","Monzen Nakacho","9","https://apts.jp/properties/183115-comforia-monzennakacho-0509","Air Conditioning · Pet Friendly · Bicycle Storage"
"Comforia Monzennakacho","Tokyo","Koto-ku","Fuyuki 16-8","0509","119,000","119000","S","25.65","276","Monzen Nakacho","9","https://apts.jp/properties/183115-comforia-monzennakacho-0509","Air Conditioning · Pet Friendly · Bicycle Storage"
"Comforia Monzennakacho","Tokyo","Koto-ku","Fuyuki 16-8","0601","120,000","120000","S","26.81","289","Monzen Nakacho","9","https://apts.jp/properties/183115-comforia-monzennakacho-0509","Air Conditioning · Pet Friendly · Bicycle Storage"
"Comforia Monzennakacho","Tokyo","Koto-ku","Fuyuki 16-8","0811","120,000","120000","S","25.65","276","Monzen Nakacho","9","https://apts.jp/properties/183115-comforia-monzennakacho-0509","Air Conditioning · Pet Friendly · Bicycle Storage"
"Comforia Monzennakacho","Tokyo","Koto-ku","Fuyuki 16-8","0507","120,000","120000","S","26.1","281","Monzen Nakacho","9","https://apts.jp/properties/183115-comforia-monzennakacho-0509","Air Conditioning · Pet Friendly · Bicycle Storage"
"Comforia Monzennakacho","Tokyo","Koto-ku","Fuyuki 16-8","0506","120,000","120000","S","26.81","289","Monzen Nakacho","9","https://apts.jp/properties/183115-comforia-monzennakacho-0509","Air Conditioning · Pet Friendly · Bicycle Storage"
"Estime Maison Oshiage","Tokyo","Sumida-ku","Narihira 5-11-5","202","119,000","119000","S","28.06","302","Oshiage","7","https://apts.jp/properties/182125-estime-maison-oshiage-202","Air Conditioning · Pet Friendly · Parking · Bicycle Storage"
"Comforia Kiba Water Park","Tokyo","Koto-ku","Kiba 3-11-13","0806","119,000","119000","S","25.96","279","Kiba","8","https://apts.jp/properties/97925-comforia-kiba-water-park-0806","Air Conditioning · Bicycle Storage"
"Gala Place Kinshicho","Tokyo","Sumida-ku","Kinshi 1-6-11","0902","119,000","119000","S","23.38","252","Kinshicho","7","https://apts.jp/properties/181724-gala-place-kinshicho-0902","Air Conditioning · Bicycle Storage"
"Prime Urban Taito Negishi","Tokyo","Taito-ku","Negishi 3-21-8","503","119,000","119000","S","25.23","272","Iriya","7","https://apts.jp/properties/181224-prime-urban-taito-negishi-503","Pet Friendly · Parking"
"Park Axis Kameido","Tokyo","Koto-ku","Kameido 1-8-6","910","120,000","120000","S","25.94","279","Kameido","6","https://apts.jp/properties/181829-park-axis-kameido-910","Air Conditioning · Pet Friendly"
"Park Axis Taito Negishi","Tokyo","Taito-ku","Negishi 5-2-1","702","120,000","120000","S","25.09","270","Iriya","9","https://apts.jp/properties/19420-park-axis-taito-negishi-702","Air Conditioning · Pet Friendly"
"CASSIA","Tokyo","Sumida-ku","Kamezawa 3-27-7","0603","120,000","120000","S","24.95","269","Kinshicho","13","https://apts.jp/properties/173632-cassia-0603","Air Conditioning · Pet Friendly · Bicycle Storage"
"Comforia Kinshicho DEUX","Tokyo","Koto-ku","Mori 2-10-20","0309","120,000","120000","S","25.6","276","Sumiyoshi","6","https://apts.jp/properties/183049-comforia-kinshicho-deux-0309","Air Conditioning · Pet Friendly · Bicycle Storage"
"Park Axis Iriya","Tokyo","Taito-ku","Iriya 2-38-2","301","120,000","120000","S","25.89","279","Iriya","6","https://apts.jp/properties/91947-park-axis-iriya-301","Air Conditioning · Pet Friendly · Parking"
"Reterrace Ueno Iriya","Tokyo","Taito-ku","Ryusen 1-2-2","0203","120,000","120000","S","25.04","270","Iriya","9","https://apts.jp/properties/183025-reterrace-ueno-iriya-0203","Air Conditioning · Bicycle Storage"
"Arden Monzen Nakacho","Tokyo","Koto-ku","Furuishiba 2-12-6","605","120,000","120000","S","21.47","231","Etchu Jima","9","https://apts.jp/properties/183088-arden-monzen-nakacho-605","Pet Friendly · Parking"
"Atrio Flats Kitasenju South","Tokyo","Adachi-ku","Senju-kawaracho 20-13","203","120,000","120000","S","25.02","269","Senju Ohashi","4","https://apts.jp/properties/180697-atrio-flats-kitasenju-south-203","Air Conditioning"
"Atrio Flats Kitasenju South","Tokyo","Adachi-ku","Senju-kawaracho 20-13","303","120,000","120000","S","25.02","269","Senju Ohashi","4","https://apts.jp/properties/180697-atrio-flats-kitasenju-south-203","Air Conditioning"
"KNOTS Asakusa","Tokyo","Taito-ku","Asakusa 6-33-5","303","120,000","120000","S","25.88","279","Asakusa Tsukuba Express","9","https://apts.jp/properties/182754-knots-asakusa-303","Air Conditioning · Bicycle Storage"
